country_code,country_name,who_atlas_score,gdp_per_capita,sci_output_psych,pew_religiosity
UA,Ukraine,,5140.0,8.0,84.8
DE,Germany,13.1,54777.0,73.2,63.9
FR,France,14.5,44700.0,43.71,57.4
PL,Poland,3.5,22145.0,33.21,91.4
NL,Netherlands,,63516.0,187.65,45.9
LV,Latvia,4.8,22710.0,21.31,83.2
LT,Lithuania,4.2,27786.0,49.65,92.9
EE,Estonia,,30264.0,84.67,56.4
US,United States,,81032.0,89.53,70.3
GB,United Kingdom,,49944.0,134.08,59.8
AU,Australia,,65058.0,185.77,57.7
CA,Canada,,54220.0,136.11,65.4
GE,Georgia,,8284.0,16.35,98.9
AM,Armenia,2.3,8159.0,7.07,99.0
AZ,Azerbaijan,3.5,7133.0,1.29,95.3
KZ,Kazakhstan,,12879.0,6.22,97.5
UZ,Uzbekistan,,2879.0,1.02,99.4
MD,Moldova,2.5,6800.0,1.53,99.7
IL,Israel,,52004.0,166.67,95.7
JP,Japan,,33836.0,14.16,42.5
BR,Brazil,1.6,10378.0,8.66,86.5
